Company,Website,Location,Description,LinkedIn_People_URL
ACRO Biosystems,https://acrobiosystems.com.cn/,DE - Newark,"ACROBiosystems | Delivering solutions...",https://www.linkedin.com/company/acrobiosystems-co-ltd/people/
Emery Pharma,https://emerypharma.com/,CA - Alameda,"Emery Pharma: CRO supporting discovery...",https://www.linkedin.com/company/emerypharma/people/
Selvita,https://selvita.com/,CA - South SF,"Selvita | Fully-integrated CRO...",https://www.linkedin.com/company/selvita/people/
Icosagen Cell Factory,https://www.icosagen.com/services/,CA - San Francisco,"Partner with Icosagen...",https://www.linkedin.com/company/icosagen/people/
Mispro Biotech Services,https://www.mispro.com/space-services,CA - South SF,"Mispro is a contract vivarium organization...",https://www.linkedin.com/company/mispro-biotech-services-corporation/people/
