Company,Website,Location,Description
Renasant Bio,https://www.renasantbio.com/,CA - Berkeley,Small molecules treating autosomal dominant polycystic kidney disease
ResVita Bio,https://resvitabio.com/,CA - Berkeley,Engineered Skin Probiotics
Sampling Human,https://www.samplinghuman.com/,CA - Berkeley,Single cell biomarkers
Solaris Biotech,https://www.solarisbiotech.com/en/bioreactors-fermentors,CA - Berkeley,"Specialized bioprocessing equipment for biotech, pharma, food + more. Benchtop / Pilot / Industrial Bioreactors, Fermenters, TFF."
Synvivia,https://www.synvivia.com/,CA - Berkeley,Protein Switches
Valitor,https://www.valitorbio.com/,CA - Berkeley,Protein therapeutics
XCellAssay,https://www.xcellassay.com/,CA - Berkeley,Low-cost measurement of hormones in ultra-low volumes of serum or urine
Annexon Biosciences,https://annexonbio.com/,CA - Brisbane,Neurodegenerative and autoimmune disorders
Avive Solutions,https://www.avive.life/,CA - Brisbane,Automated External Defibrillator
Bristol Myers Squibb,https://www.bms.com/,CA - Brisbane,"Small Molecules, Biologics"
CareDx,https://caredx.com/,CA - Brisbane,Diagnostics
Character Biosciences,https://www.characterbio.com/,CA - Brisbane,Clinical genomic and deep phenotyping platform
Day One Biopharmaceuticals,https://www.dayonebio.com/,CA - Brisbane,Cancer Treatments
Delpor,https://delpor.com/,CA - Brisbane,Drug Delivery System
Gate Bioscience,https://www.gatebio.com/,CA - Brisbane,Molecular Gates
GenEdit,https://genedit.com/,CA - Brisbane,Nonviral CRISPR-delivery system
Mammoth Biosciences,https://mammoth.bio/,CA - Brisbane,"CRISPR, Gene-Editing Therapies"
Nitrase Therapeutics,https://nitrasetx.com/,CA - Brisbane,Nitration enzyme
Prothena,https://www.prothena.com/,CA - Brisbane,Antibodies for neuro / immune targets
Razor Genomics,https://www.razorgenomics.com/,CA - Brisbane,Molecular Diagnostics
ReviR Therapeutics,https://revirtx.com/,CA - Brisbane,Building a Scalable Platform addressing unmet therapeutic needs by Revising RNA with Small Molecules
Tempest Therapeutics,https://www.tempesttx.com/,CA - Brisbane,Small Molecules for Immuno-Oncology
Ultragenyx Pharmaceutical,https://www.ultragenyx.com/,CA - Brisbane,"Small Molecules, Biologics"
Vera Therapeutics,https://veratx.com/,CA - Brisbane,Gene Editing Technology
YenZym Antibodies,https://www.yenzym.com/,CA - Brisbane,Custom antibodies
Apeximmune,https://www.apeximmune.com/,CA - Burlingame,Immune oncology mABs
